City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Payette,US,54.45,broken clouds,44.0782,-116.9338,Payette Motel
289,Bambous Virieux,MU,74.21,heavy intensity rain,-20.3428,57.7575,Casa Tia Villa
290,San Quintin,MX,60.31,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
291,Carndonagh,IE,43.02,scattered clouds,55.25,-7.2667,Riversdale Country House
292,Brive-La-Gaillarde,FR,39.27,light rain,45.25,1.5,Logis Hôtel la Gamade
293,Avera,US,70.38,scattered clouds,33.194,-82.5271,
294,Broken Hill,AU,53.31,clear sky,-31.95,141.4333,Royal Exchange Hotel
295,Tocopilla,CL,71.26,few clouds,-22.092,-70.1979,Hotel Galvarino
297,Zhaotong,CN,45.16,overcast clouds,27.3167,103.7167,Jingguan Home
299,Lubu,CN,55.44,overcast clouds,23.1742,112.2809,Classic View Hotel
300,Charlestown,AU,58.41,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
302,Thunder Bay,CA,42.78,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
303,Port Macquarie,AU,59.9,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
304,Yuryevets,RU,30.63,snow,57.3201,43.1041,Pavlikov House
306,Hualmay,PE,74.28,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
307,Cradock,ZA,58.46,light rain,-32.1642,25.6192,Die Hoekhuis
308,Santa Maria,BR,74.5,few clouds,-29.6842,-53.8069,Hotel Morotin
310,Nangomba,TZ,72.01,light rain,-10.9,38.5,
311,Sao Filipe,CV,72.1,broken clouds,14.8961,-24.4956,Hotel Xaguate
314,Mahebourg,MU,74.25,heavy intensity rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
315,Manzhouli,CN,37.15,clear sky,49.6,117.4333,Angala International Youth Hostel
319,Hamilton,US,50.22,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
320,Lasa,IT,34.68,light snow,46.6166,10.7002,Pension Feldgärtenhof
321,Jesup,US,71.94,clear sky,31.6074,-81.8854,Western Motel
323,Granadilla De Abona,ES,62.8,overcast clouds,28.1188,-16.576,Hotel Rural Senderos De Abona
324,Redcliffe,AU,69.89,few clouds,-27.2307,153.0973,Scarborough Beach Resort
325,Cascais,PT,65.46,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
326,Tura,IN,72.66,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
334,Qui Nhon,VN,72.64,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
337,Lewisporte,CA,46.11,overcast clouds,49.2499,-55.0482,Ocean View Bed & Breakfast
340,Saint George,US,69.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
343,Gannan,CN,41.02,few clouds,47.9147,123.5031,Gannan Supply and Marketing Cooperatives Hostel
344,Zalantun,CN,38.07,scattered clouds,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
347,Jumla,NP,48.88,clear sky,29.2747,82.1838,Royal Garden Hotel
348,Saint Anthony,US,48.09,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
350,Napanee,CA,44.94,scattered clouds,44.2501,-76.9494,Fox Motor Inn
351,Lagoa,PT,59.2,clear sky,39.05,-27.9833,Casa Das Faias
352,Mount Gambier,AU,53.51,broken clouds,-37.8333,140.7667,The Commodore
353,Takestan,IR,62.73,scattered clouds,36.0696,49.6959,baghdadi hotelهتل و رستوران بغدادی
356,Smithers,CA,37.72,scattered clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
359,Necochea,AR,68.32,clear sky,-38.5473,-58.7368,dyd -mar Hotel
360,Puerto Narino,CO,69.37,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
361,Demba,CD,69.64,overcast clouds,-5.51,22.2667,Guest House Du Cinquantenaire
362,Swinford,IE,47.34,broken clouds,53.95,-8.95,Deerpark Manor B&B
